Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-5-5,"top1: 57.55, top5: 81.09"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:1.0",6.0,5-5-5,"top1: 0.58, top5: 2.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-5-5,"top1: 57.36, top5: 80.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,20-10-20,"top1: 59.80, top5: 82.52"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:1.0",6.0,20-10-20,"top1: 0.15, top5: 0.65"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-5-5,"top1: 58.36, top5: 81.35"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,5-5-5,"top1: 58.66, top5: 81.53"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,10-5-5,"top1: 58.58, top5: 81.73"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,5-5-5,"top1: 57.62, top5: 81.19"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:1.0",6.0,5-5-5,"top1: 58.43, top5: 81.75"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,10-5-5,"top1: 58.99, top5: 82.07"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,10-5-5,"top1: 59.02, top5: 82.21"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,10-5-5,"top1: 58.02, top5: 81.08"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,10-5-5,"top1: 57.95, top5: 81.51"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,10-10-10,"top1: 57.38, top5: 80.47"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,10-10-10,"top1: 59.55, top5: 82.30"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,10-10-10,"top1: 60.27, top5: 83.21"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,10-10-10,"top1: 60.59, top5: 83.28"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,20-5-5,"top1: 57.28, top5: 80.19"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,20-5-5,"top1: 57.50, top5: 80.42"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,20-5-5,"top1: 56.15, top5: 79.79"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,20-5-5,"top1: 56.89, top5: 80.20"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,5-20-5,"top1: 55.14, top5: 78.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-20-5,"top1: 59.58, top5: 82.29"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-20-5,"top1: 60.10, top5: 83.18"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-20-5,"top1: 61.55, top5: 83.99"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,5-5-20,"top1: 57.15, top5: 80.06"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-5-20,"top1: 60.66, top5: 83.00"
