Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-5-5,"top1: 51.94, top5: 76.14"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-5-5,"top1: 52.00, top5: 76.43"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-5-5,"top1: 53.15, top5: 76.62"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,5-5-5,"top1: 50.72, top5: 74.75"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,5-5-5,"top1: 50.23, top5: 75.51"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:1.0",6.0,5-5-5,"top1: 47.91, top5: 73.57"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,10-5-5,"top1: 49.34, top5: 73.13"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,10-5-5,"top1: 45.67, top5: 70.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,10-5-5,"top1: 48.62, top5: 72.57"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,10-5-5,"top1: 46.83, top5: 70.61"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,10-5-5,"top1: 44.53, top5: 69.92"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:1.0",6.0,10-5-5,"top1: 39.67, top5: 65.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-10-10,"top1: 50.28, top5: 74.37"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-10-10,"top1: 50.21, top5: 75.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-10-10,"top1: 53.45, top5: 77.64"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,5-10-10,"top1: 50.11, top5: 73.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,5-10-10,"top1: 50.85, top5: 76.64"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,4-4-4,"top1: 49.85, top5: 73.60"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,4-4-4,"top1: 57.23, top5: 80.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,4-4-4,"top1: 56.39, top5: 79.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,4-4-4,"top1: 53.29, top5: 78.07"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,6-3-3,"top1: 51.40, top5: 75.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,6-3-3,"top1: 50.75, top5: 74.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,6-3-3,"top1: 47.36, top5: 71.18"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-6-3,"top1: 51.71, top5: 75.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-6-3,"top1: 52.27, top5: 76.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-6-3,"top1: 49.74, top5: 75.32"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-3-6,"top1: 51.61, top5: 75.34"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-3-6,"top1: 51.87, top5: 76.10"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-3-6,"top1: 49.62, top5: 74.79"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,6-6-0,"top1: 48.74, top5: 71.84"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,6-6-0,"top1: 47.62, top5: 71.87"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,6-6-0,"top1: 42.59, top5: 67.34"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-6-6,"top1: 53.25, top5: 76.92"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-6-6,"top1: 56.72, top5: 79.98"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-6-6,"top1: 58.96, top5: 81.72"
