Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,30-100-70,"top1: 74.90, top5: 94.13"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,30-100-70,"top1: 75.40, top5: 94.17"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.59, top5: 93.86"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 75.20, top5: 94.03"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.54, top5: 93.80"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.51, top5: 93.97"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,30-100-70,"top1: 74.43, top5: 93.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,30-100-70,"top1: 74.65, top5: 93.69"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,30-100-70,"top1: 75.04, top5: 93.82"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 74.32, top5: 93.65"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 75.06, top5: 93.85"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 73.47, top5: 93.52"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 74.25, top5: 94.09"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",2.0,30-100-70,"top1: 71.22, top5: 92.11"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",2.0,30-100-70,"top1: 70.24, top5: 91.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,30-100-70,"top1: 71.85, top5: 92.00"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,30-100-70,"top1: 70.90, top5: 91.88"
